,date,title,creator,release_year,category,evaluation,Unnamed: 9,year,month
2,2025-11-21,Delicatessen,Jean-Pierre Jeunet,1991.0,Mubi,85.0,,2025,2025-11
3,2025-11-19,Night on Earth,Jim Jarmusch,1.0,Amazon Prime,73.0,,2025,2025-11
5,2025-11-15,The Running Man,Edgar Wright,2025.0,Kino,83.0,,2025,2025-11
6,2025-11-14,Bird,Andrea Arnold,2024.0,Mubi,85.0,,2025,2025-11
10,2025-11-07,Once upon a Time in Hollywood,Quentin Tarantino,2019.0,Blu Ray,95.0,,2025,2025-11
11,2025-11-02,Rear Window,Alfred Hitchcock,1954.0,Blu Ray,87.0,,2025,2025-11
12,2025-11-01,Bugonia,Yorgos Lanthimos,2025.0,Kino,85.0,,2025,2025-11
14,2025-10-26,Orlando,Sally Potter,1992.0,Mubi,70.0,,2025,2025-10
16,2025-10-18,The Life of Chuck,Mike Flanagan,2024.0,Kino,84.0,,2025,2025-10
17,2025-10-17,The Smashing Machine,Benny Safdie,2025.0,Kino,80.0,,2025,2025-10
19,2025-10-11,One Battle After Another,Paul Thomas Anderson,2025.0,Kino,75.0,,2025,2025-10
21,2025-10-09,Tron: Ares,Joachim Rønning,2025.0,Kino,77.0,,2025,2025-10
24,2025-10-04,Snowpiercer,Bong Joon-Ho,2013.0,Netflix,90.0,,2025,2025-10
25,2025-09-25,The Toxic Avenger,Macon Blair,2023.0,Kino,65.0,,2025,2025-09
29,2025-09-14,Nope,Jordan Peele,2022.0,Blu Ray,80.0,,2025,2025-09
30,2025-09-13,Us,Jordan Peele,2019.0,Netflix,70.0,,2025,2025-09
31,2025-09-02,Caught Stealing,Darren Aronofsky,2025.0,Kino,70.0,,2025,2025-09
32,2025-08-28,Blazing Saddles,Mel Brooks,1974.0,Youtube,65.0,,2025,2025-08
33,2025-08-27,The Seed of the Sacred Fig,Mohammad Rasoulof,2024.0,Freiluftkino,80.0,,2025,2025-08
34,2025-08-22,Paterson,Jim Jarmusch,2016.0,Mubi,70.0,,2025,2025-08
35,2025-08-12,Sonne,Kurdwin Ayub,2022.0,Mubi,78.0,,2025,2025-08
36,2025-08-09,Incendies,Denis Villeneuve,2010.0,DVD,77.0,,2025,2025-08
37,2025-08-07,Superman,James Gunn,2025.0,Kino,80.0,,2025,2025-08
38,2025-08-06,Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,1988.0,Mubi,65.0,,2025,2025-08
39,2025-08-05,The Piano,Jane Campion,1993.0,Mubi,70.0,,2025,2025-08
40,2025-08-01,Beau is afraid,Ari Aster,2023.0,other Streaming,87.0,,2025,2025-08
42,2025-07-26,The Game,David Fincher,1997.0,DVD,87.0,,2025,2025-07
43,2025-07-25,Jurassic Park,Steven Spielberg,1993.0,other Streaming,85.0,,2025,2025-07
44,2025-07-22,F1,Joseph Kosinski,2025.0,Kino,70.0,,2025,2025-07
47,2025-07-15,Persepolis,Marjane Satrapi,2007.0,Mubi,80.0,,2025,2025-07
48,2025-07-08,The Big Short,Adam McKay,2015.0,Blu Ray,100.0,,2025,2025-07
50,2025-07-05,Punch-Drunk Love,Paul Thomas Anderson,2002.0,Netflix,83.0,,2025,2025-07
51,2025-06-29,Love Lies Bleeding,Rose Glass,2024.0,Kino,73.0,,2025,2025-06
52,2025-06-28,28 Years Later,Danny Boyle,2025.0,Kino,70.0,,2025,2025-06
55,2025-06-21,Independence Day,Roland Emmerich,1996.0,Fernsehen,77.0,,2025,2025-06
62,2025-06-01,The Phoenician Scheme,Wes Anderson,2025.0,Kino,60.0,,2025,2025-06
65,2025-05-24,Das Cabinet des Dr. Caligari,Robert Wiene,1920.0,Kino,80.0,,2025,2025-05
66,2025-05-23,Hanami,Dorris Doerie,2008.0,DVD,100.0,,2025,2025-05
68,2025-05-17,Warfare,Alex Garland,2025.0,Kino,72.0,,2025,2025-05
70,2025-05-15,Ghost in the Shell,Rupert Sanders,2017.0,Netflix,70.0,,2025,2025-05
71,2025-05-13,Catch-22,Mike Nichols,1970.0,Kino,73.0,,2025,2025-05
72,2025-05-05,Past Lives,Celine Song,2023.0,Mubi,72.0,,2025,2025-05
73,2025-05-04,Civil War,Alex Garland,2024.0,Netflix,89.0,,2025,2025-05
77,2025-04-09,Dead Poets Society,Peter Weir,1989.0,other Streaming,80.0,,2025,2025-04
78,2025-04-06,Arrival,Denis Villeneuve,2016.0,Netflix,89.0,,2025,2025-04
79,2025-04-05,The Intouchables,Olivier Nakache,2011.0,Netflix,72.0,,2025,2025-04
82,2025-03-29,The Brutalist,Brady Corbet,2024.0,Kino,74.0,,2025,2025-03
83,2025-03-20,Ainda Estou Aqui,Walter Salles,2024.0,Kino,79.0,,2025,2025-03
84,2025-03-18,Mickey 17,Bong Joon-Ho,2025.0,Kino,70.0,,2025,2025-03
85,2025-03-15,Memento,Christopher Nolan,2000.0,Mubi,83.0,,2025,2025-03
86,2025-03-14,Anora,Sean Baker,2024.0,Flugzeug,75.0,,2025,2025-03
87,2025-02-22,Juror #2,Clint Eastwood,2024.0,Flugzeug,83.0,,2025,2025-02
88,2025-02-22,Encanto,Jared Bush,2021.0,Flugzeug,73.0,,2025,2025-02
89,2025-02-22,Emilia Pérez,Jacques Audiard,2024.0,Flugzeug,65.0,,2025,2025-02
90,2025-02-19,A Fish called Wanda,Charles Crichton,1988.0,DVD,80.0,,2025,2025-02
91,2025-02-18,Dune: Part Two,Denis Villeneuve,2024.0,Blu Ray,85.0,,2025,2025-02
94,2025-02-13,The Dark Knight Rises,Christopher Nolan,2012.0,Blu Ray,83.0,,2025,2025-02
95,2025-02-09,September 5,Tim Fehlbaum,2024.0,Kino,83.0,,2025,2025-02
96,2025-02-07,Batman Begins,Christopher Nolan,2005.0,Blu Ray,79.0,,2025,2025-02
98,2025-02-02,Harry Potter and the Deathly Hallows: Part 2,David Yates,2011.0,Netflix,74.0,,2025,2025-02
99,2025-02-02,Harry Potter and the Deathly Hallows: Part 1,David Yates,2010.0,Netflix,74.0,,2025,2025-02
100,2025-02-01,Harry Potter and the Half-Blood Prince,David Yates,2009.0,Netflix,72.0,,2025,2025-02
101,2025-01-30,Harry Potter and the Order of the Phoenix,David Yates,2007.0,Netflix,70.0,,2025,2025-01
102,2025-01-28,Full Metal Jacket,Stanley Kubrick,1987.0,DVD,89.0,,2025,2025-01
103,2025-01-27,Harry Potter and the Goblet of Fire,Mike Newell,2005.0,Netflix,75.0,,2025,2025-01
104,2025-01-26,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,2004.0,Netflix,83.0,,2025,2025-01
105,2025-01-24,Harry Potter and the Chamber of Secrets,Chris Columbus,2002.0,Netflix,80.0,,2025,2025-01
108,2025-01-21,Nosferatu,Robert Eggers,2024.0,Kino,80.0,,2025,2025-01
109,2025-01-19,Queer,Luca Guadagnino,2024.0,Kino,73.0,,2025,2025-01
111,2025-01-17,The Dark Knight,Christopher Nolan,2008.0,Blu Ray,97.0,,2025,2025-01
113,2025-01-14,Harry Potter and the Sorcerer's Stone,Chris Columbus,2001.0,Netflix,79.0,,2025,2025-01
116,2025-01-09,La Chimera,Alice Rohrwacher,2023.0,Mubi,80.0,,2025,2025-01
117,2025-01-07,Ödipussi,Loriot,1988.0,DVD,90.0,,2025,2025-01
119,2025-01-04,The Naked Gun: From the Files of Police Squad!,David Zucker,1988.0,other Streaming,74.0,,2025,2025-01
121,2025-01-01,Death on the Nile,John Guillermin,1978.0,Fernsehen,87.0,,2025,2025-01
122,2024-12-30,Cast Away,Robert Zemeckis,2000.0,Fernsehen,83.0,,2024,2024-12
123,2024-12-28,Evil under the Sun,Guy Hamilton,1982.0,Fernsehen,84.0,,2024,2024-12
125,2024-12-26,The Prestige,Christopher Nolan,2006.0,Blu Ray,88.0,,2024,2024-12
126,2024-12-23,Conclave,Edward Berger,2024.0,Kino,73.0,,2024,2024-12
128,2024-12-19,Little Lord Fauntleroy,Jack Gold,1980.0,Fernsehen,83.0,,2024,2024-12
129,2024-12-17,Home alone,Chris Columbus,1992.0,DVD,87.0,,2024,2024-12
130,2024-12-16,National Lampoon's Christmas Vacation,Jeremiah S. Chechik,1989.0,DVD,85.0,,2024,2024-12
131,2024-12-15,Single Bells,Xaver Schwarzenberg,1998.0,Fernsehen,85.0,,2024,2024-12
133,2024-12-08,Socialist Realism,Valeria Sarmiento,2023.0,Mubi,60.0,,2024,2024-12
134,2024-12-07,Sing 2,Garth Jennings,2021.0,Amazon Prime,78.0,,2024,2024-12
135,2024-12-03,Interstellar,Christopher Nolan,2014.0,Blu Ray,100.0,,2024,2024-12
137,2024-11-26,Hagen - Im Tal der Nibelungen,Cyrill Boss,2024.0,Kino,71.0,,2024,2024-11
138,2024-11-24,No Other Land,Yuval Abraham,2024.0,Kino,80.0,,2024,2024-11
139,2024-11-23,Pedágio,Carolina Markowicz,2023.0,Kino,60.0,,2024,2024-11
140,2024-11-22,Gladiator,Ridley Scott,2000.0,Amazon Prime,90.0,,2024,2024-11
141,2024-11-21,Gladiator II,Ridley Scott,2024.0,Kino,65.0,,2024,2024-11
144,2024-11-12,The Room Next Door,Pedro Almodóvar,2024.0,Kino,60.0,,2024,2024-11
146,2024-11-08,There Will Be Blood,Paul Thomas Anderson,2007.0,Blu Ray,79.0,,2024,2024-11
150,2024-10-26,About Endlessness,Roy Andersson,2019.0,Mubi,65.0,,2024,2024-10
151,2024-10-25,Magnolia,Paul Thomas Anderson,1999.0,Blu Ray,100.0,,2024,2024-10
153,2024-10-23,Little Shop of Horrors,Frank Oz,1986.0,Amazon Prime,75.0,,2024,2024-10
154,2024-10-19,Inglourious Basterds,Quentin Tarantino,2009.0,Blu Ray,89.0,,2024,2024-10
155,2024-10-18,The Shining,Stanley Kubrick,1980.0,Kino,95.0,,2024,2024-10
156,2024-10-16,The Substance,Coralie Fargeat,2024.0,Kino,80.0,,2024,2024-10
158,2024-10-12,Lee,Ellen Kuras,2023.0,Kino,70.0,,2024,2024-10
159,2024-10-11,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",Chantal Akerman,1975.0,Mubi,79.0,,2024,2024-10
160,2024-10-09,The Breakfast Club,John Hughes,1985.0,Amazon Prime,72.0,,2024,2024-10
162,2024-10-02,Mission: Impossible,Brian De Palma,1996.0,Netflix,87.0,,2024,2024-10
163,2024-09-29,Au revoir les enfants,Louis Malle,1987.0,Mubi,73.0,,2024,2024-09
164,2024-09-28,Underground,Emir Kusturica,1995.0,Mubi,85.0,,2024,2024-09
165,2024-09-27,Only Lovers left alive,Jim Jarmusch,2013.0,Mubi,75.0,,2024,2024-09
166,2024-09-26,Crossing the Bridge: The Sound of Istanbul,Fatih Akin,2005.0,Mubi,60.0,,2024,2024-09
167,2024-09-25,The Square,Ruben Östlund,2017.0,Mubi,90.0,,2024,2024-09
169,2024-09-24,Reality+,Coralie Fargeat,2014.0,Mubi,50.0,,2024,2024-09
