,tmdb_id,title,evaluation,Director_0,Adventure,Fantasy,Animation,Drama,Horror,Action,Comedy,History,Western,Thriller,Crime,Documentary,Science Fiction,Mystery,Music,Romance,Family,War,TV Movie,primary genre,overview,keywords
0,157336,Interstellar,9.89,Christopher Nolan,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Adventure,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,artificial intelligence nasa spacecraft expedition future wormhole space travel famine time travel black hole dystopia race against time quantum mechanics space rescue family relationships robot astronaut scientist single father farmer space station space adventure father daughter relationship 
1,515001,Jojo Rabbit,8.9,Taika Waititi,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Comedy,"A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.",based on novel or book world war ii jew persecution hitler youth imaginary friend satire single mother nazism 1940s child protagonist adolf hitler children in wartime 
2,334,Magnolia,9.98,Paul Thomas Anderson,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama,"An epic mosaic of many interrelated characters in search of happiness, forgiveness, and meaning in the San Fernando Valley.",farewell loss of loved one regret parent child relationship suicide attempt becoming an adult dying and death chance child prodigy daughter unsociability reconciliation san fernando valley multiple storylines frog weird rain 
3,318846,The Big Short,9.52,Adam McKay,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,The men who made millions from a global economic meltdown.,bank fraud biography wall street finances based on a true story animated scene breaking the fourth wall historical fiction loan financial crisis real estate mortgage 
4,76341,Mad Max: Fury Road,9.38,George Miller,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Action,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",future chase post-apocalyptic future dystopia australia rescue survival on the run on the road convoy peak oil dark future 
5,64058,Single Bells,8.14,Xaver Schwarzenberger,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,"Kati, successful advertising manager, dreams of a family with Jonas, who has been her boyfriend since eight years. As he doesn't like the plan at all, they start an argument. Kati finally decides to go to her sister Luise on Christmas instead of flying to Mauritius with Jonas. This turns out to be a bad idea because she isn't the only guest Luise's family has to bear... Kati, successful advertising manager, dreams of a family with Jonas, who has been her boyfriend since eight years. As he doesn't like the plan at all, they start an argument. Kati finally decides to go to her sister Luise on Christmas instead of flying to Mauritius with Jonas. This turns out to be a bad idea because she isn't the only guest Luise's family has to bear...",christmas 
6,120,The Lord of the Rings: The Fellowship of the Ring,9.4,Peter Jackson,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",elves dwarf orcs hobbit loss of loved one based on novel or book river mountain mine fireworks castle volcano birthday party uncle addiction fugitive battle death blizzard wizard journey ring live action and animation sword and sorcery middle-earth 
7,19995,Avatar,8.959999999999999,James Cameron,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Action,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet marine soldier battle love affair space opera anti war power relations mind and soul 
8,264660,Ex Machina,9.38,Alex Garland,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Drama,"Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",dancing artificial intelligence distrust isolation technology manipulation friendship deception laboratory robot power outage surveillance camera consciousness existentialism lockdown philosophical turing test cybernetics female cyborg human android relationship 
9,5825,National Lampoon's Christmas Vacation,7.9,Jeremiah S. Chechik,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,"It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.",holiday boss family dinner neighbor domestic life fantasy sequence christmas christmas bonus jello 
10,122,The Lord of the Rings: The Return of the King,9.58,Peter Jackson,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",elves dwarf orcs hobbit based on novel or book suspicion volcano bravery addiction honor royalty troll brutality ghost wizard quest live action and animation sword and sorcery middle-earth 
